1;Capital City of United Arab Emirates ;Beirut;Abu Dhabi;Jamestown;Doha;Abu Dhabi
2;The great Victoria Desert is located in;Canada;West Africa;Australia;North America;Australia
3;Capital City of Ghana?;Accra;Bridgetown;Castries;Jerusalem;Accra
4;What is part of a database that holds only one type of information ;Report;Field;Record;File;Field
5;Capital City of Algeria?;Algiers;Addis Ababa;St. Pierre;Yamoussoukro;Algiers
6;Who is the author of the book 'Nineteen Eighty Four ;Thomas Hardy;Emile Zola;George Orwell;Walter Scott;George Orwell
7;The Mau Mau were terrorists in which country late 50s early 60s?;Kenya;Sudan;Malaysia;Ghana;Kenya
8;What was the name of the atom bomb dropped on Hiroshima?;Little Boy;Bad Boy;Fat Boy;Good Boy;Little Boy
9;Which English Monarch succeeded William III of Orange?;Mary II;James II;James I;Charles II;Mary II
10;What are the cannibalistic beasts called in H.G. Wells book The Time Machine?;Morlocks;Warlocks;Yahoos;Triffids;Morlocks
11;Whose autobiography was entitled 'The Long Walk To Freedom'?;Nelson Mandela;Mahatma Gandhi;Lenin;Martin Luther King;Nelson Mandela
12;Who does Mr Brownlow rescue?;Oliver Twist;Tom Jones;Huckleberry Finn;Tom Brown;Oliver Twist
13;In which book is there an inn called Admiral Benbow?;Treasure Island;Peter Pan;Lord of the Rings;Gullivers Travels;Treasure Island
14;In the book The Last Of The Mohicans what was the name of Chingachgook's only son?;Uncas;Mingo;Lightfoot;Magua;Uncas
15;In which Italian city do Romeo and Juliet live?;Verona;Naples;Milano;Pisa;Verona
16;Who managed the punk group The Sex Pistols?;Malcolm McClaren;John Lydon;Sid Vicious;They were unmanagable;Malcolm McClaren
17;Barry Manilow had a hit with which song?;Mandy;Randy;Candy;Dandy;Mandy
18;Which ship was a hit for the Beach Boys?;Sloop John B.;Proud Mary;Mississippi Quenn;Rainbow Warrior;Sloop John B.
19;Who appeared a record 106 times on Top Of The Pops?;Status Quo;Adam and the Ants;T-Rex;The England World Cup Squad;Status Quo
20;What was a hit for the Pretenders?;Stop your sobbing;Crying in the rain;Tears on my pillow;Tears of a clown;Stop your sobbing
21;Which animal was a hit for Jefferson Airplane?;White Rabbit;White Horses ;White Dove;Ride a white Swan;White Rabbit
22;What is Smokey Robinson's real name?;William Robinson;Joe Robinson;Smokey Robinson;Samuel Robinson;William Robinson
23;Which band was not a trio?;Wings;America;ELP;Cream;Wings
24;What lives in a Formicarium?;Ants;Turtles;Apes;Butterflies;Ants
25;"Who said ""nature abhors a vacuum""?";Galileo;Einstein;Aristotle;Newton;Galileo
26;Which of the following animals are not rodents?;Hedgehogs;Rats;Gophers;Chipmunks;Hedgehogs
27;A Blue Whale has a heart roughly the size of a what?;VW Beetle;Basketball;Grapefruit;Peanut;VW Beetle
28;How many holes are there on a ten pin bowling ball?;3;4;2;5;3
29;How many Olympic gold medals did mark Spitz win in Munich in 1972?;7;8;6;5;7
30;Which sport is played at Hickstead?;Show Jumping;Rally Car Racing;Cricket;Polo;Show Jumping
31;'Wedel' is a term in which sport?;Skiing;Darts;Chess;Formula One;Skiing
32;Figure skating champion Elvis Stojko was from which country?;Canada;Russia;USA;Bulgaria;Canada
33;Which NHL hockey team has won the most Stanley Cups?;Montreal Canadiens;Toronto Maple Leafs;Boston Bruins;New York Rangers;Montreal Canadiens
34;A 'Miller' is a move in which sport?;Trampolining;Diving;Chess;Ice Hockey;Trampolining
35;Who was dubbed the Elephant Man?;John Merrick;John McCririck ;John McEnroe;John Martin;John Merrick
36;Duchess is a cat in which film ?;Aristocats;Lethal Weapon;101 Dalmatians;Men In Black;Aristocats
37;Which of the following was not a character in Disney's Pocahontas?;Mooky;Flit;Chief Powhatan;Lon;Mooky
38;Which American President was a famous film/TV star before he became the president ?;J.F. Kennedy ;Geraid R Fond ;Richard Nixon ;Ronald Regan ;Ronald Regan 
39;Joseph Barbera created which one of the following famouse cartoon charecters?;Spiderman ; Mickey Mouse ;Tom and Jerry ;Phantom ;Tom and Jerry 
40;In which one of the following films did the Nobel Laureate Pearl S Buck collaborate?;Shatranj Ke Khilari ;Guide ;Lawrence of Arabia ;Titanic ;Guide 
41;Who among the following is considered as the inventor of the World Wide Web (WWW)?;A. Edward Kasner ;Bill Gates ;Tim Berners - Lee ;Vinod Dham ;Tim Berners - Lee 
